repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
YosysHQ/picorv32,244,Fix RV32E shifts by immediates >= 0x10,bug-fix,1,2,1,,,,,,0,1,0,0,0,0,0,0,0,0,1,picorv32.v,
YosysHQ/picorv32,229,Bugfix: decode fence instruction,bug-fix,1,6,2,,,,,,0,1,0,0,0,0,0,0,0,0,1,picorv32.v,
YosysHQ/picorv32,202,picosoc: enable fast multiply option for icebreaker,other,2,9,4,,,,,,2,0,0,0,0,0,0,0,0,0,0,,picosoc/icebreaker.v|picosoc/picosoc.v
YosysHQ/picorv32,152,Fix #151 (missing irqs),bug-fix,1,7,6,,,,,,0,1,0,0,0,0,0,0,0,0,1,picorv32.v,
YosysHQ/picorv32,158,added default clk divider parameter to simpleuart,other,1,2,2,,,,,,1,0,0,0,0,0,0,0,0,0,0,,picosoc/simpleuart.v
YosysHQ/picorv32,138,Short modification in the error string,other,1,1,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,,picosoc/icebreaker.v
YosysHQ/picorv32,131,Add tracing support to dhrystone test,feature-addition,1,24,2,,,,,,0,1,0,0,0,0,0,0,0,0,1,dhrystone/testbench.v,
YosysHQ/picorv32,111,Use SPRAM on ICE40UP5K based boards,other,4,118,3,,,,,,3,1,0,0,0,0,0,0,0,0,1,picosoc/icebreaker_tb.v,picosoc/ice40up5k_spram.v|picosoc/icebreaker.v|picosoc/picosoc.v
YosysHQ/picorv32,79,Expose ENABLE_IRQ_QREGS and PROGADDR_IRQ from picosoc.v,other,1,4,2,,,,,,1,0,0,0,0,0,0,0,0,0,0,,picosoc/picosoc.v
YosysHQ/picorv32,52,Testbench wb fixes,feature-addition,1,26,1,,,,,,0,1,0,0,0,0,0,0,0,0,1,testbench_wb.v,
YosysHQ/picorv32,63,Fix spiflash_tb,bug-fix,1,6,6,,,,,,0,1,0,0,0,0,0,0,0,0,1,picosoc/spiflash_tb.v,
YosysHQ/picorv32,66,spiflash: Allow setting firmware from plusarg,other,1,4,1,,,,,,0,1,0,0,0,0,0,0,0,0,1,picosoc/spiflash.v,
YosysHQ/picorv32,69,Bypass picosoc compile order check if PICORV32_REGS is defined.,other,1,2,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,picosoc/picosoc.v
YosysHQ/picorv32,40,testbench_wb.v: unify verbose output with axi testbench,other,2,25,9,,,,,,0,2,0,0,0,0,0,0,0,0,1,picorv32.v|testbench_wb.v,
