repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
darklife/darkriscv,108,Bug Fix: correcting immediate encoding for unsigned instructions,bug-fix,1,1,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,1,rtl/darkriscv.v,
jbush001/NyuziProcessor,190,Fixing width cast warnings that pop-up when running with NUM_CORES > 1,other,2,17,17,17,17,1,0,1,0,2,0,0,0,0,0,0,0,0,1,tests/unit/test_control_registers.sv|tests/unit/test_l2_cache.sv,
lowRISC/opentitan,29605,[prim_subreg_shadow] Prevent X-propagation for W1S/W0C shadow registers,other,1,3,2,3,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,,hw/ip/prim/rtl/prim_subreg_shadow.sv
darklife/darkriscv,105,Fix compile errors for mt48lc16m16a2_ctrl.v,bug-fix,1,5,4,5,4,1,0,2,0,1,0,0,0,0,0,0,0,0,1,rtl/lib/sdram/mt48lc16m16a2_ctrl.v,
jbush001/NyuziProcessor,186,Add logic data type to perf_event_count port,feature-addition,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,hardware/core/performance_counters.sv
YosysHQ/picorv32,244,Fix RV32E shifts by immediates >= 0x10,bug-fix,1,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,picorv32.v,
jbush001/NyuziProcessor,185,Use dedicated NUM_ENTRIES parameter for I$ TLB.,other,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,hardware/core/ifetch_tag_stage.sv,
lowRISC/opentitan,29371,[dv] Remove two unused flags from dv_base_mem,feature-removal,2,12,34,12,34,1,2,0,1,1,0,0,0,0,0,0,0,0,1,hw/dv/sv/cip_lib/cip_base_scoreboard.sv,hw/dv/sv/dv_base_reg/dv_base_mem.sv
darklife/darkriscv,101,Coprocessor interface,feature-addition,2,37,13,32,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1,rtl/config.vh|rtl/darkriscv.v,
XUANTIE-RV/wujian100_open,22,fix(iverilog): remove static from tb,bug-fix,2,13,2,13,2,1,0,1,0,2,0,0,0,0,0,0,0,0,1,tb/busmnt.v|tb/tb.v,
